商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
66ab2780706a3a00014fb150,华研外语 · 备战2026年6月华研真题8合1考前指南含12月cet4四级历年专项训练,medium,商品已下架/冻结,28000,0.0,WATCH,66a35611c40e0e0015c8d743,沐辰图书的店,2026-06-18 15:28:04,web_full,,1
675044fb53c11d0001aa3641,同步小学课本拓展萌小闲带你探秘语文｜数学｜英语,medium,商品已下架/冻结,28000,0.0,WATCH,658bef15076cd80001878ba5,小吟心书坊的店,2026-06-18 15:28:17,web_full,,1
696e46b6b706d70001107b48,同步小学课本拓展萌小闲带你探秘语文｜数学｜英语,medium,商品已下架/冻结,28000,0.0,WATCH,658bef15076cd80001878ba5,小吟心书坊的店,2026-06-18 15:28:21,web_full,,1
667cb9d9fe26d3000190a741,早教书0-3岁婴幼儿家庭早教游戏全书正版幼儿启蒙早教书家庭早教,medium,商品已下架/冻结,27000,0.0,WATCH,660b718daeebf8000164e6b9,锦尚冠程原味图书的店,2026-06-18 15:28:25,web_full,,1
65d19e7320ec6200010a805b,2025新版念儿歌300首有声书念儿歌做早教有声书早教书儿童点读书,medium,商品已下架/冻结,27000,0.0,WATCH,,Echo.慧语拾光的店,2026-06-18 15:28:25,web_full,,1
66b97aa66bf36b000187291b,华研外语·备战2026年6月华研真题8合1考前指南含12月cet4四级历年专项训练,medium,商品已下架/冻结,27000,0.0,WATCH,66a35611c40e0e0015c8d743,沐辰图书的店,2026-06-18 15:28:33,web_full,,1
677e875c627fd9000199c36b,备战2026年6月华研真题8合1考前指南含12月cet4四级历年专项训练,medium,商品已下架/冻结,27000,0.0,WATCH,,,2026-06-18 15:29:52,web_full,,1
69d4a19cc8c73300016cfcd5,甘特图信息图表可视化数据市场营销规划汇报PPT模板D736,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:42,web_full,,1
69da3e236fc3520001d4309c,明媚春日叠加JPG素材F272,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:42,web_full,,1
69db653a6fc3520001efb34e,动态极简动画排版设计机构宣传展示AE格式源文件模板Q525,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:42,web_full,,1
69d3ac35450d0600019bc31e,动态活力四射的动画社交媒体海报展示AE格式源文件模板Q510,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:42,web_full,,1
69e8e6d9ae65c90001d2db1a,动态3D移动应用推广用于产品样机展示AE源文件模板Q540,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:42,web_full,,1
69f846366bdc380001eee10b,动态现代智能手机模型用于应用展示AE源文件模板Q565,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
69fb3727213e270001f1299e,动态火焰与烟雾漩涡Logo展示转场AE格式源文件模板Q576,medium,商品已下架/冻结,25000,0.0,WATCH,64facdde6b0df000011e31db,大蓝莓设计素材的店,2026-06-18 13:38:43,web_full,,1
